seq,run_id,stage,change,rationale,parent,status,n_train,n_val,n_test,best_epoch,runtime_sec,p_seed,p_window_size,p_max_samples_train,p_max_samples_val,p_max_samples_test,p_d_model,p_nhead,p_num_layers,p_dim_feedforward,p_dropout,p_lr,p_epochs,p_patience,p_batch_size,p_weight_decay,p_loss,p_lr_schedule,p_event_weight,p_select_on,p_weight_avg,p_roll_jitter,p_init_ckpt,p_event_boost,val_mae_W,val_r2,val_precision,val_recall,val_f1,test_mae_W,test_rmse_W,test_r2,test_sae,test_energy_error,test_precision,test_recall,test_f1,d_mae_W,d_mae_pct,d_r2,d_sae,d_precision,d_recall,d_f1,note
22,tune_f10_biglong,5-攻坚,F8 配方全长 30ep/patience10 + wavg4（新稳定版）,F8 在 23/30ep 被资源截停且未来得及叠 wavg；F2→F3 先例证明“尾段稳定化”值 −19%→补全长训练+top4 平均，测容量版的完整收益；patience 提至 10 防 cosine 尾段误停,tune_f8_big,完赛,30000,8000,30000,14,6122.4,42,128,30000,8000,30000,128,8,4,256,0.0,0.0004,30,10,64,0.0001,mse,cosine,,,4,,,"max_extra=15000,stoch,frac=0.45",3.579,0.8282,0.905,0.864,0.884,6.68,104.4,0.7699,0.1001,-0.1001,0.9381,0.797,0.8618,-0.69,-9.4%,0.0448,-0.1157,-0.0139,0.0526,0.0263,canonical；val 3.9→3.57→3.66 曲线完赛

22,tune_f10_biglong,5-攻坚,F8 配方全长 30ep/patience10 + wavg4（新稳定版）,F8 在 23/30ep 被资源截停且未来得及叠 wavg；F2→F3 先例证明“尾段稳定化”值 −19%→补全长训练+top4 平均，测容量版的完整收益；patience 提至 10 防 cosine 尾段误停,tune_f8_big,完赛,30000,8000,30000,14,6122.4,42,128,30000,8000,30000,128,8,4,256,0.0,0.0004,30,10,64,0.0001,mse,cosine,,,4,,,"max_extra=15000,stoch,frac=0.45",3.579,0.8282,0.905,0.864,0.884,6.68,104.4,0.7699,0.1001,-0.1001,0.9381,0.797,0.8618,-0.69,-9.4%,0.0448,-0.1157,-0.0139,0.0526,0.0263,canonical；val 3.9→3.57→3.66 曲线完赛
23,tune_f11_big_jit,5-攻坚,（计划加 jitter，sed 失配→实为 F10 确定性复跑）,F10 R .797 召回缺口部分疑为模型记忆事件“位置”而非形状→计划 roll_jitter±2 强制学形状；配置 sed 替换失配使本轮实为 F10 原样复跑——逐位一致的结果意外提供了全表唯一的确定性对照,tune_f10_biglong,完赛,30000,8000,30000,14,6122.4,42,128,30000,8000,30000,128,8,4,256,0.0,0.0004,30,10,64,0.0001,mse,cosine,,,4,,,"max_extra=15000,stoch,frac=0.45",3.579,0.8282,0.905,0.864,0.884,6.68,104.4,0.7699,0.1001,-0.1001,0.9381,0.797,0.8618,0,+0.0%,0,0,0,0,0,与 F10 逐位一致，验证管道确定性

22,tune_f10_biglong,5-攻坚,F8 配方全长 30ep/patience10 + wavg4（新稳定版）,F8 在 23/30ep 被资源截停且未来得及叠 wavg；F2→F3 先例证明“尾段稳定化”值 −19%→补全长训练+top4 平均，测容量版的完整收益；patience 提至 10 防 cosine 尾段误停,tune_f8_big,完赛,30000,8000,30000,14,6122.4,42,128,30000,8000,30000,128,8,4,256,0.0,0.0004,30,10,64,0.0001,mse,cosine,,,4,,,"max_extra=15000,stoch,frac=0.45",3.579,0.8282,0.905,0.864,0.884,6.68,104.4,0.7699,0.1001,-0.1001,0.9381,0.797,0.8618,-0.69,-9.4%,0.0448,-0.1157,-0.0139,0.0526,0.0263,canonical；val 3.9→3.57→3.66 曲线完赛
24,tune_f12_jit_cont,5-攻坚,F10 终权重热启动 + roll_jitter=2 续训 12ep,F11 事故使 jitter 假说未测→补测；且从头训 30ep 成本高，改为从 F10 终权重 init_ckpt 热启动短续训：若 F10 平台是局部最优可借 jitter 逃逸，若已是好解只付小成本,tune_f10_biglong,完赛,30000,8000,30000,4,2902.4,42,128,30000,8000,30000,128,8,4,256,0.0,0.0003,12,12,64,0.0001,mse,cosine,,,4,2,reports/tune_f11_big_jit/best.pt,"max_extra=15000,stoch,frac=0.45",2.979,0.8526,0.95,0.864,0.905,7.63,104.8,0.7683,0.2054,-0.2054,0.9541,0.782,0.8595,0.95,+14.2%,-0.0016,0.1054,0.0161,-0.015,-0.0023,双刃：低阈端 R .97 但 MAE/EE 恶化

22,tune_f10_biglong,5-攻坚,F8 配方全长 30ep/patience10 + wavg4（新稳定版）,F8 在 23/30ep 被资源截停且未来得及叠 wavg；F2→F3 先例证明“尾段稳定化”值 −19%→补全长训练+top4 平均，测容量版的完整收益；patience 提至 10 防 cosine 尾段误停,tune_f8_big,完赛,30000,8000,30000,14,6122.4,42,128,30000,8000,30000,128,8,4,256,0.0,0.0004,30,10,64,0.0001,mse,cosine,,,4,,,"max_extra=15000,stoch,frac=0.45",3.579,0.8282,0.905,0.864,0.884,6.68,104.4,0.7699,0.1001,-0.1001,0.9381,0.797,0.8618,-0.69,-9.4%,0.0448,-0.1157,-0.0139,0.0526,0.0263,canonical；val 3.9→3.57→3.66 曲线完赛
25,tune_f13_seed43,5-攻坚,F10 配方 seed 42→43,各臂间差值多在 ±1.5W，而全程单 seed→无法判定 6.68 是配方收益还是抽风运气；唯一变量换 seed 建立噪声地板：差值大于地板才允许归因，小于地板的结论一律降级,tune_f10_biglong,完赛,30000,8000,30000,18,6723.1,43,128,30000,8000,30000,128,8,4,256,0.0,0.0004,30,10,64,0.0001,mse,cosine,,,4,,,"max_extra=15000,stoch,frac=0.45",3.189,0.8183,0.905,0.864,0.884,7.24,111.7,0.7369,0.2055,-0.2055,0.9476,0.7481,0.8361,0.57,+8.5%,-0.033,0.1054,0.0096,-0.0489,-0.0257,seed 敏感性 ±0.5W；回归面稳、运营点面 ±2pp

22,tune_f10_biglong,5-攻坚,F8 配方全长 30ep/patience10 + wavg4（新稳定版）,F8 在 23/30ep 被资源截停且未来得及叠 wavg；F2→F3 先例证明“尾段稳定化”值 −19%→补全长训练+top4 平均，测容量版的完整收益；patience 提至 10 防 cosine 尾段误停,tune_f8_big,完赛,30000,8000,30000,14,6122.4,42,128,30000,8000,30000,128,8,4,256,0.0,0.0004,30,10,64,0.0001,mse,cosine,,,4,,,"max_extra=15000,stoch,frac=0.45",3.579,0.8282,0.905,0.864,0.884,6.68,104.4,0.7699,0.1001,-0.1001,0.9381,0.797,0.8618,-0.69,-9.4%,0.0448,-0.1157,-0.0139,0.0526,0.0263,canonical；val 3.9→3.57→3.66 曲线完赛
26,ens_median4_f8f10f12f13,5-攻坚(集成),median(f8_big+f10_biglong+f12_jit_cont+f13_seed43) 功率集成；决策阈值按 val8k 选点 t*=115W（test 未参与选点）,F13 已证 seed 噪声 ±0.7W 且各臂 FN 漏检位置互不相同→功率中位数集成可同时平均掉 MAE 噪声并互补召回缺口；median 比 mean 抗单成员过预测；t*=115 仅用 val8k 选定防 test 偷看,tune_f10_biglong,集成(无训练),,,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99,108.2,0.7528,0.189,-0.189,0.907,0.8797,0.8931,0.31,+4.7%,-0.0171,0.0889,-0.0311,0.0827,0.0313,非训练轮；500W 双端协议点 P .950/R .778；test 侧最优 t=95 曾达 .906/.906（仅诊断，不作验收）

